#n,fm,afm,uuuddd,ududddd,uudddd,uddddd
0.000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.010,0.0000000000,0.0132957121,0.0125350079,0.0090198821,0.0087385696,0.0042533853
0.020,0.0000000000,0.0244776508,0.0229353447,0.0180136649,0.0174264814,0.0084878730
0.030,0.0000000000,0.0336142714,0.0312688813,0.0265447451,0.0256454769,0.0127036032
0.040,0.0000000000,0.0407711608,0.0376006516,0.0332047685,0.0319861293,0.0169006935
0.050,0.0000000000,0.0460156069,0.0419961621,0.0379445209,0.0363904990,0.0210471049
0.060,0.0000000000,0.0494090971,0.0445167742,0.0408275706,0.0389202116,0.0239553965
0.070,0.0000000000,0.0510164067,0.0452248643,0.0419162328,0.0396371671,0.0250693493
0.080,0.0000000000,0.0511327308,0.0444150671,0.0415060580,0.0388364381,0.0246847632
0.090,0.0000000000,0.0510585662,0.0433850640,0.0408959583,0.0378152767,0.0240985244
0.100,0.0000000000,0.0509822854,0.0423216566,0.0402729004,0.0367605043,0.0235007269
0.110,0.0000000000,0.0509024566,0.0412226712,0.0396368538,0.0356700266,0.0228887909
0.120,0.0000000000,0.0508229437,0.0400861448,0.0389862051,0.0345414999,0.0222612201
0.130,0.0000000000,0.0507398040,0.0389079300,0.0383186870,0.0333694212,0.0216141368
0.140,0.0000000000,0.0506554805,0.0376851062,0.0376320946,0.0321525166,0.0209466409
0.150,0.0000000000,0.0505691995,0.0364132714,0.0369241631,0.0308847915,0.0202547892
0.160,0.0000000000,0.0504810621,0.0350867958,0.0361920169,0.0295599385,0.0195331549
0.170,0.0000000000,0.0503922917,0.0337006859,0.0354326638,0.0281721905,0.0187745390
0.180,0.0000000000,0.0503009991,0.0322447604,0.0346381511,0.0267091156,0.0179687997
0.190,0.0000000000,0.0502069103,0.0307124181,0.0338022917,0.0251590170,0.0171021847
0.200,0.0000000000,0.0501125980,0.0290896851,0.0329190809,0.0235059411,0.0161489658
0.210,0.0000000000,0.0500173752,0.0273629957,0.0319725819,0.0217202135,0.0150551042
0.220,0.0000000000,0.0499202775,0.0255089602,0.0309467912,0.0197379728,0.0136854161
0.230,0.0000000000,0.0498221010,0.0234992025,0.0298072743,0.0175227729,0.0122373250
0.240,0.0000000000,0.0497263443,0.0212914335,0.0284959579,0.0151599952,0.0109645718
0.250,0.0000000000,0.0496268824,0.0188057957,0.0268750779,0.0126211580,0.0100408529
0.260,0.0000000000,0.0495275834,0.0158944958,0.0251435704,0.0099750586,0.0096198688
0.270,0.0000000000,0.0494308266,0.0125783883,0.0234941327,0.0073948101,0.0094561655
0.280,0.0000000000,0.0493336102,0.0091386197,0.0220363867,0.0049151740,0.0092689434
0.290,0.0000000000,0.0492390495,0.0058197251,0.0207775582,0.0026076663,0.0090514285
0.300,0.0000000000,0.0491482646,0.0028175860,0.0196755050,0.0005165608,0.0087888373
0.310,0.0000000000,0.0490574351,0.0003749366,0.0189881284,-0.0015122423,0.0084525994
0.320,0.0000000000,0.0489714892,-0.0012318301,0.0185694767,-0.0031875197,0.0079857160
0.330,0.0000000000,0.0488928170,-0.0018403652,0.0185546302,-0.0043186111,0.0072818878
0.340,0.0000000000,0.0488211866,-0.0013188475,0.0190693504,-0.0049882818,0.0065462228
0.350,0.0000000000,0.0487568411,-0.0003364470,0.0200734481,-0.0051368916,0.0059516942
0.360,0.0000000000,0.0487032032,0.0007270105,0.0212547456,-0.0047175886,0.0056026313
0.370,0.0000000000,0.0486619084,0.0019693008,0.0225845535,-0.0040372524,0.0054428965
0.380,0.0000000000,0.0486356053,0.0035144659,0.0240515481,-0.0031804484,0.0056237722
0.390,0.0000000000,0.0486357993,0.0053112847,0.0256519784,-0.0020596116,0.0063031162
0.400,0.0000000000,0.0486603872,0.0073147848,0.0273849094,-0.0006176831,0.0074647966
0.410,0.0000000000,0.0487124756,0.0095061605,0.0292685604,0.0010472820,0.0088354591
0.420,0.0000000000,0.0488149896,0.0118870126,0.0313302469,0.0029219241,0.0104569994
0.430,0.0000000000,0.0489678051,0.0144933485,0.0336298976,0.0050941130,0.0124182163
0.440,0.0000000000,0.0491864399,0.0174127252,0.0362593149,0.0077169776,0.0148579136
0.450,0.0000000000,0.0493579507,0.0207445280,0.0394013909,0.0109428685,0.0179293524
0.460,0.0000000000,0.0492704019,0.0239613324,0.0426649115,0.0143252234,0.0211901786
0.470,0.0000000000,0.0489459478,0.0269393027,0.0457814942,0.0176506530,0.0244145012
0.480,0.0000000000,0.0483887459,0.0296246013,0.0486135489,0.0207712586,0.0274408088
0.490,0.0000000000,0.0476171403,0.0319601011,0.0510881361,0.0235612189,0.0301257850
0.500,0.0000000000,0.0466490554,0.0338731778,0.0531452423,0.0258937534,0.0323301124
0.510,0.0000000000,0.0454915663,0.0352640638,0.0546682510,0.0275988268,0.0338495342
0.520,0.0000000000,0.0441501861,0.0359711245,0.0555073432,0.0284598402,0.0345784793
0.530,0.0000000000,0.0426381851,0.0358140288,0.0554372367,0.0286643953,0.0348184382
0.540,0.0000000000,0.0409607449,0.0350519860,0.0546593557,0.0284500970,0.0347212053
0.550,0.0000000000,0.0391214252,0.0338299021,0.0532931679,0.0278431247,0.0342980283
0.560,0.0000000000,0.0371318231,0.0322221584,0.0514015583,0.0268318333,0.0335514453
0.570,0.0000000000,0.0349976933,0.0302763857,0.0490229159,0.0254201570,0.0324682341
0.580,0.0000000000,0.0327228667,0.0280200401,0.0461733903,0.0236004941,0.0310223325
0.590,0.0000000000,0.0303179230,0.0253929840,0.0428598185,0.0213507026,0.0291850652
0.600,0.0000000000,0.0277914093,0.0223116966,0.0390712090,0.0186887483,0.0268856064
0.610,0.0000000000,0.0251464495,0.0187287806,0.0347665362,0.0155655216,0.0240921740
0.620,0.0000000000,0.0223942630,0.0145503811,0.0298346879,0.0118751199,0.0207335213
0.630,0.0000000000,0.0195428204,0.0096656301,0.0242844491,0.0074639819,0.0166401840
0.640,0.0000000000,0.0166033737,0.0043130497,0.0183219398,0.0026244570,0.0122737241
0.650,0.0000000000,0.0136013430,-0.0010823291,0.0122811648,-0.0022258250,0.0079874985
0.660,0.0000000000,0.0105411595,-0.0063309469,0.0063956129,-0.0067240971,0.0039761393
0.670,0.0000000000,0.0074695690,-0.0112154261,0.0008751212,-0.0106257484,0.0004324991
0.680,0.0000000000,0.0044254119,-0.0154153161,-0.0039992544,-0.0136394100,-0.0024163426
0.690,0.0000000000,0.0015507501,-0.0185441718,-0.0079528789,-0.0156119920,-0.0045345343
0.700,0.0000000000,-0.0014560698,-0.0207292006,-0.0111592825,-0.0170334799,-0.0064683038
0.710,0.0000000000,-0.0047018906,-0.0216319935,-0.0138609132,-0.0180493786,-0.0082717127
0.720,0.0000000000,-0.0080030234,-0.0215021029,-0.0162286510,-0.0184591886,-0.0099633392
0.730,0.0000000000,-0.0112552553,-0.0208176570,-0.0182912140,-0.0183691227,-0.0115678031
0.740,0.0000000000,-0.0144628773,-0.0200883438,-0.0199817868,-0.0181204396,-0.0130997570
0.750,0.0000000000,-0.0176368663,-0.0194886903,-0.0213299197,-0.0177383959,-0.0145679247
0.760,0.0000000000,-0.0207928906,-0.0189899883,-0.0224713987,-0.0172151644,-0.0157066133
0.770,0.0000000000,-0.0239275710,-0.0187223940,-0.0235957120,-0.0166068273,-0.0163165586
0.780,0.0000000000,-0.0270540671,-0.0187449613,-0.0249863823,-0.0160466755,-0.0165890497
0.790,0.0000000000,-0.0301769750,-0.0189542825,-0.0265388868,-0.0157632849,-0.0167749994
0.800,0.0000000000,-0.0332999420,-0.0192997363,-0.0281828223,-0.0157083668,-0.0172115722
0.810,0.0000000000,-0.0364313102,-0.0197603010,-0.0298939041,-0.0157996809,-0.0178111667
0.820,0.0000000000,-0.0395733532,-0.0203210784,-0.0316560639,-0.0160052499,-0.0184947197
0.830,0.0000000000,-0.0427320708,-0.0209774913,-0.0334672344,-0.0163139493,-0.0192373133
0.840,0.0000000000,-0.0459127260,-0.0217247393,-0.0353216039,-0.0167144513,-0.0200245619
0.850,0.0000000000,-0.0491214493,-0.0225656334,-0.0372192345,-0.0172098881,-0.0208519559
0.860,0.0000000000,-0.0523609481,-0.0235005277,-0.0391570687,-0.0177984139,-0.0217140676
0.870,0.0000000000,-0.0556379531,-0.0245377931,-0.0411415252,-0.0184863804,-0.0226087364
0.880,0.0000000000,-0.0589580015,-0.0256827840,-0.0431696224,-0.0192803650,-0.0235349837
0.890,0.0000000000,-0.0623267840,-0.0269501403,-0.0452468573,-0.0201925707,-0.0244946534
0.900,0.0000000000,-0.0657514316,-0.0283557264,-0.0473750211,-0.0212396670,-0.0254876358
0.910,0.0000000000,-0.0692398657,-0.0299230287,-0.0495610795,-0.0224455488,-0.0265159942
0.920,0.0000000000,-0.0727968034,-0.0316810468,-0.0518057525,-0.0238392902,-0.0275812527
0.930,0.0000000000,-0.0764340185,-0.0336750698,-0.0541189121,-0.0254683026,-0.0286872977
0.940,0.0000000000,-0.0801596204,-0.0359687081,-0.0565039058,-0.0273991852,-0.0298368313
0.950,0.0000000000,-0.0839855604,-0.0386629133,-0.0589706601,-0.0297407387,-0.0310335292
0.960,0.0000000000,-0.0879269611,-0.0419351937,-0.0615303148,-0.0326884640,-0.0322849412
0.970,0.0000000000,-0.0919464310,-0.0461026593,-0.0640515133,-0.0366209751,-0.0334307912
0.980,0.0000000000,-0.0951791813,-0.0520570323,-0.0659115383,-0.0421065977,-0.0342480133
0.990,0.0000000000,-0.0971103291,-0.0574338596,-0.0670247851,-0.0462638076,-0.0347384363
1.000,0.0000000000,-0.0977519905,-0.0616086480,-0.0673960919,-0.0499412435,-0.0349016836
