#n,fm,afm,uuuddd,face,tri,twin,one
0.000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.010,0.0000000000,0.0132909750,0.0127145690,0.0089125370,0.0091685557,0.0089125370,0.0044060892
0.020,0.0000000000,0.0244413092,0.0232673624,0.0177728378,0.0183028950,0.0177728378,0.0087865510
0.030,0.0000000000,0.0334918723,0.0316982064,0.0261223547,0.0269490784,0.0261223547,0.0131390930
0.040,0.0000000000,0.0404859345,0.0380489989,0.0325058884,0.0336438438,0.0325058884,0.0174609059
0.050,0.0000000000,0.0454657079,0.0423603640,0.0368503279,0.0383120859,0.0368503279,0.0216846358
0.060,0.0000000000,0.0484738314,0.0446728760,0.0391961616,0.0409953335,0.0391961616,0.0244684255
0.070,0.0000000000,0.0495508502,0.0450257795,0.0395830486,0.0417337862,0.0395830486,0.0253096425
0.080,0.0000000000,0.0492871400,0.0440072793,0.0385988604,0.0411167873,0.0385988604,0.0247961716
0.090,0.0000000000,0.0489688277,0.0429016977,0.0375284397,0.0404292131,0.0375284397,0.0242142173
0.100,0.0000000000,0.0486469201,0.0417564716,0.0364175624,0.0397191793,0.0364175624,0.0236093038
0.110,0.0000000000,0.0483189109,0.0405670572,0.0352636972,0.0389847926,0.0352636972,0.0229814949
0.120,0.0000000000,0.0479878508,0.0393335146,0.0340653870,0.0382260606,0.0340653870,0.0223310595
0.130,0.0000000000,0.0476526330,0.0380498002,0.0328168537,0.0374387847,0.0328168537,0.0216532625
0.140,0.0000000000,0.0473139724,0.0367137499,0.0315159141,0.0366242080,0.0315159141,0.0209454346
0.150,0.0000000000,0.0469704091,0.0353183916,0.0301553342,0.0357748790,0.0301553342,0.0202058910
0.160,0.0000000000,0.0466218983,0.0338588920,0.0287296659,0.0348889430,0.0287296659,0.0194282358
0.170,0.0000000000,0.0462704127,0.0323301866,0.0272342899,0.0339651668,0.0272342899,0.0186105713
0.180,0.0000000000,0.0459147902,0.0307220246,0.0256569785,0.0329949432,0.0256569785,0.0177427527
0.190,0.0000000000,0.0455526549,0.0290269067,0.0239894640,0.0319724960,0.0239894640,0.0168181252
0.200,0.0000000000,0.0451900335,0.0272335181,0.0222192982,0.0308939826,0.0222192982,0.0158273235
0.210,0.0000000000,0.0448222963,0.0253286889,0.0203276103,0.0297451981,0.0203276103,0.0147471669
0.220,0.0000000000,0.0444500061,0.0232933215,0.0182901706,0.0285135286,0.0182901706,0.0135489077
0.230,0.0000000000,0.0440743226,0.0211049171,0.0160691954,0.0271790298,0.0160691954,0.0121581182
0.240,0.0000000000,0.0436953097,0.0187338846,0.0135790033,0.0257117184,0.0135790033,0.0104405001
0.250,0.0000000000,0.0433119189,0.0161380860,0.0108064179,0.0240548439,0.0108064179,0.0086887540
0.260,0.0000000000,0.0429257436,0.0132545235,0.0078341368,0.0220611768,0.0078341368,0.0071837855
0.270,0.0000000000,0.0425375220,0.0099724231,0.0046157560,0.0197920571,0.0046157560,0.0061494947
0.280,0.0000000000,0.0421465226,0.0060716086,0.0012613748,0.0175509482,0.0012613748,0.0055614378
0.290,0.0000000000,0.0417512390,0.0017419612,-0.0020707186,0.0155258021,-0.0020707186,0.0049424313
0.300,0.0000000000,0.0413555634,-0.0026706101,-0.0053745235,0.0138493082,-0.0053745235,0.0042573899
0.310,0.0000000000,0.0409574493,-0.0069029386,-0.0084654658,0.0124763964,-0.0084654658,0.0034829512
0.320,0.0000000000,0.0405570166,-0.0106778544,-0.0115502455,0.0110382192,-0.0115502455,0.0025882316
0.330,0.0000000000,0.0401554251,-0.0135201353,-0.0143347021,0.0097314560,-0.0143347021,0.0014973512
0.340,0.0000000000,0.0397537373,-0.0151407239,-0.0164682638,0.0089797900,-0.0164682638,-0.0000488634
0.350,0.0000000000,0.0393518097,-0.0143698342,-0.0180638743,0.0089316962,-0.0180638743,-0.0019896525
0.360,0.0000000000,0.0389506109,-0.0131312309,-0.0191832282,0.0094499633,-0.0191832282,-0.0039952969
0.370,0.0000000000,0.0385516754,-0.0118299455,-0.0194167411,0.0099799787,-0.0194167411,-0.0058180527
0.380,0.0000000000,0.0381538582,-0.0105854844,-0.0193108678,0.0104538864,-0.0193108678,-0.0072100069
0.390,0.0000000000,0.0377587449,-0.0095107747,-0.0189213264,0.0108077481,-0.0189213264,-0.0079047774
0.400,0.0000000000,0.0373668824,-0.0087440401,-0.0182487241,0.0109937868,-0.0182487241,-0.0077555150
0.410,0.0000000000,0.0369836604,-0.0084754287,-0.0174668257,0.0111313565,-0.0174668257,-0.0072980846
0.420,0.0000000000,0.0366049873,-0.0085254629,-0.0165912672,0.0110658464,-0.0165912672,-0.0066566011
0.430,0.0000000000,0.0362327809,-0.0087065956,-0.0156460414,0.0108481009,-0.0156460414,-0.0058856372
0.440,0.0000000000,0.0358728628,-0.0088884538,-0.0146979625,0.0105741786,-0.0146979625,-0.0050293604
0.450,0.0000000000,0.0355230176,-0.0089669086,-0.0136881927,0.0102951252,-0.0136881927,-0.0041309733
0.460,0.0000000000,0.0351891720,-0.0088365466,-0.0126591182,0.0100557771,-0.0126591182,-0.0032154998
0.470,0.0000000000,0.0348711857,-0.0084081808,-0.0116689332,0.0098906579,-0.0116689332,-0.0023220933
0.480,0.0000000000,0.0345716507,-0.0076316086,-0.0107291684,0.0098316658,-0.0107291684,-0.0014748582
0.490,0.0000000000,0.0342979393,-0.0067509402,-0.0098102504,0.0099137522,-0.0098102504,-0.0007095830
0.500,0.0000000000,0.0340500361,-0.0058152636,-0.0088391575,0.0101618685,-0.0088391575,-0.0001036065
0.510,0.0000000000,0.0338344536,-0.0048161546,-0.0078080228,0.0105963542,-0.0078080228,0.0004528341
0.520,0.0000000000,0.0336558981,-0.0037518031,-0.0067146340,0.0111091062,-0.0067146340,0.0010435607
0.530,0.0000000000,0.0335233324,-0.0026098278,-0.0055469536,0.0116846251,-0.0055469536,0.0016828829
0.540,0.0000000000,0.0334410458,-0.0013847468,-0.0042994639,0.0123219352,-0.0042994639,0.0023719298
