#n,fm,afm,uuuddd,face,tri,twin,one
0.000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.010,0.0000000000,0.1474513733,0.0822640477,0.0513386158,0.0657312018,0.0513386158,0.0275480762
0.020,0.0000000000,0.2921282145,0.1613294266,0.1003002325,0.1282314650,0.1003002325,0.0538686310
0.030,0.0000000000,0.4339803003,0.2371652230,0.1467959162,0.1874623347,0.1467959162,0.0789422712
0.040,0.0000000000,0.5727384191,0.3096780655,0.1907063216,0.2433890610,0.1907063216,0.1027472623
0.050,0.0000000000,0.7078159923,0.3784898658,0.2318359251,0.2959780479,0.2318359251,0.1252555941
0.060,0.0000000000,0.8392268926,0.4435769802,0.2699624169,0.3451994185,0.2699624169,0.1464339709
0.070,0.0000000000,0.9670170844,0.5049784832,0.3054977167,0.3910259885,0.3054977167,0.1662397624
0.080,0.0000000000,1.0912315862,0.5627328864,0.3388452150,0.4334344261,0.3388452150,0.1846205043
0.090,0.0000000000,1.2119159834,0.6168801239,0.3703515390,0.4724056187,0.3703515390,0.2015062803
0.100,0.0000000000,1.3291153163,0.6674591881,0.4003380127,0.5079238396,0.4003380127,0.2168066259
0.110,0.0000000000,1.4428746904,0.7145108546,0.4291129433,0.5399775149,0.4291129433,0.2303933852
0.120,0.0000000000,1.5532340702,0.7580717362,0.4569655914,0.5685524375,0.4569655914,0.2420744858
0.130,0.0000000000,1.6602395088,0.7981847712,0.4841776996,0.5936321270,0.4841776996,0.2515065119
0.140,0.0000000000,1.7639313674,0.8348894161,0.5110103531,0.6152519022,0.5110103531,0.2586325871
0.150,0.0000000000,1.8643463050,0.8682242207,0.5376842594,0.6335311644,0.5376842594,0.2642757372
0.160,0.0000000000,1.9615186273,0.8982284632,0.5642858540,0.6485754577,0.5642858540,0.2695933426
0.170,0.0000000000,2.0554623348,0.9249377319,0.5915567202,0.6855785529,0.5915567202,0.2793119768
0.180,0.0000000000,2.1462386854,0.9483908870,0.6207075587,0.7704369510,0.6207075587,0.2969215491
0.190,0.0000000000,2.2339520760,0.9686401300,0.6503402979,0.8533441132,0.6503402979,0.3154740599
0.200,0.0000000000,2.3186918999,0.9857415313,0.6810034836,0.9343076696,0.6810034836,0.3335183133
0.210,0.0000000000,2.4005452210,0.9997923779,0.7129832693,1.0133412060,0.7129832693,0.3501269683
